id,source,name,type,composition,dataIndex,dataSource,hasPoscar,propertiesWithValues
"Alloy-SS-00016","bcc_Al0_Cu3_Nb12_Ni0_Ta9_W0_Zr0","Cu3Nb12Ta9","solid-solution","Cu3Nb12Ta9",0,"init",true,"none"
"Alloy-SS-00017","bcc_Al0_Cu3_Nb3_Ni0_Ta9_W0_Zr9","Cu3Zr9Nb3Ta9","solid-solution","Cu3Zr9Nb3Ta9",0,"init",true,"none"
"Alloy-SS-00018","bcc_Al0_Cu3_Nb3_Ni9_Ta0_W0_Zr9","Ni9Cu3Zr9Nb3","solid-solution","Ni9Cu3Zr9Nb3",0,"init",true,"none"
"Alloy-SS-00019","bcc_Al0_Cu3_Nb6_Ni6_Ta0_W0_Zr9","Ni6Cu3Zr9Nb6","solid-solution","Ni6Cu3Zr9Nb6",0,"init",true,"none"
"Alloy-SS-00020","bcc_Al0_Cu3_Nb9_Ni9_Ta3_W0_Zr0","Ni9Cu3Nb9Ta3","solid-solution","Ni9Cu3Nb9Ta3",0,"init",true,"none"
"Alloy-SS-00021","bcc_Al0_Cu6_Nb0_Ni3_Ta3_W3_Zr9","Ni3Cu6Zr9Ta3W3","solid-solution","Ni3Cu6Zr9Ta3W3",0,"init",true,"none"
"Alloy-SS-00022","bcc_Al0_Cu6_Nb3_Ni0_Ta0_W0_Zr15","Cu6Zr15Nb3","solid-solution","Cu6Zr15Nb3",0,"init",true,"none"
"Alloy-SS-00023","bcc_Al0_Cu6_Nb3_Ni9_Ta0_W0_Zr6","Ni9Cu6Zr6Nb3","solid-solution","Ni9Cu6Zr6Nb3",0,"init",true,"none"
"Alloy-SS-00024","bcc_Al0_Cu6_Nb9_Ni0_Ta9_W0_Zr0","Cu6Nb9Ta9","solid-solution","Cu6Nb9Ta9",0,"init",true,"none"
"Alloy-SS-00025","bcc_Al0_Cu9_Nb0_Ni3_Ta9_W3_Zr0","Ni3Cu9Ta9W3","solid-solution","Ni3Cu9Ta9W3",0,"init",true,"none"
"Alloy-SS-00026","bcc_Al0_Cu9_Nb3_Ni6_Ta0_W6_Zr0","Ni6Cu9Nb3W6","solid-solution","Ni6Cu9Nb3W6",0,"init",true,"none"
"Alloy-SS-00027","bcc_Al12_Cu0_Nb0_Ni0_Ta9_W0_Zr3","Al12Zr3Ta9","solid-solution","Al12Zr3Ta9",0,"init",true,"none"
"Alloy-SS-00028","bcc_Al12_Cu0_Nb6_Ni3_Ta0_W3_Zr0","Al12Ni3Nb6W3","solid-solution","Al12Ni3Nb6W3",0,"init",true,"none"
"Alloy-SS-00029","bcc_Al12_Cu6_Nb0_Ni3_Ta0_W3_Zr0","Al12Ni3Cu6W3","solid-solution","Al12Ni3Cu6W3",0,"init",true,"none"
"Alloy-SS-00030","bcc_Al15_Cu3_Nb0_Ni0_Ta0_W6_Zr0","Al15Cu3W6","solid-solution","Al15Cu3W6",0,"init",true,"none"
"Alloy-SS-00031","bcc_Al3_Cu0_Nb0_Ni0_Ta0_W18_Zr3","Al3Zr3W18","solid-solution","Al3Zr3W18",0,"init",true,"none"
"Alloy-SS-00032","bcc_Al3_Cu0_Nb0_Ni18_Ta0_W3_Zr0","Al3Ni18W3","solid-solution","Al3Ni18W3",0,"init",true,"none"
"Alloy-SS-00033","bcc_Al3_Cu0_Nb0_Ni6_Ta9_W3_Zr3","Al3Ni6Zr3Ta9W3","solid-solution","Al3Ni6Zr3Ta9W3",0,"init",true,"none"
"Alloy-SS-00034","bcc_Al3_Cu0_Nb18_Ni3_Ta0_W0_Zr0","Al3Ni3Nb18","solid-solution","Al3Ni3Nb18",0,"init",true,"none"
"Alloy-SS-00035","bcc_Al3_Cu0_Nb3_Ni3_Ta3_W12_Zr0","Al3Ni3Nb3Ta3W12","solid-solution","Al3Ni3Nb3Ta3W12",0,"init",true,"none"
"Alloy-SS-00036","bcc_Al3_Cu0_Nb6_Ni0_Ta6_W0_Zr9","Al3Zr9Nb6Ta6","solid-solution","Al3Zr9Nb6Ta6",0,"init",true,"none"
"Alloy-SS-00037","bcc_Al3_Cu0_Nb9_Ni0_Ta3_W6_Zr3","Al3Zr3Nb9Ta3W6","solid-solution","Al3Zr3Nb9Ta3W6",0,"init",true,"none"
"Alloy-SS-00038","bcc_Al3_Cu12_Nb3_Ni0_Ta3_W0_Zr3","Al3Cu12Zr3Nb3Ta3","solid-solution","Al3Cu12Zr3Nb3Ta3",0,"init",true,"none"
"Alloy-SS-00039","bcc_Al3_Cu3_Nb0_Ni0_Ta3_W6_Zr9","Al3Cu3Zr9Ta3W6","solid-solution","Al3Cu3Zr9Ta3W6",0,"init",true,"none"
"Alloy-SS-00040","bcc_Al3_Cu3_Nb0_Ni6_Ta3_W6_Zr3","Al3Ni6Cu3Zr3Ta3W6","solid-solution","Al3Ni6Cu3Zr3Ta3W6",0,"init",true,"none"
"Alloy-SS-00041","bcc_Al3_Cu3_Nb3_Ni0_Ta9_W0_Zr6","Al3Cu3Zr6Nb3Ta9","solid-solution","Al3Cu3Zr6Nb3Ta9",0,"init",true,"none"
"Alloy-SS-00042","bcc_Al3_Cu3_Nb6_Ni0_Ta6_W6_Zr0","Al3Cu3Nb6Ta6W6","solid-solution","Al3Cu3Nb6Ta6W6",0,"init",true,"none"
"Alloy-SS-00043","bcc_Al3_Cu6_Nb0_Ni0_Ta12_W3_Zr0","Al3Cu6Ta12W3","solid-solution","Al3Cu6Ta12W3",0,"init",true,"none"
"Alloy-SS-00044","bcc_Al3_Cu6_Nb12_Ni0_Ta0_W3_Zr0","Al3Cu6Nb12W3","solid-solution","Al3Cu6Nb12W3",0,"init",true,"none"
"Alloy-SS-00045","bcc_Al3_Cu6_Nb6_Ni3_Ta0_W3_Zr3","Al3Ni3Cu6Zr3Nb6W3","solid-solution","Al3Ni3Cu6Zr3Nb6W3",0,"init",true,"none"
"Alloy-SS-00046","bcc_Al3_Cu9_Nb0_Ni6_Ta6_W0_Zr0","Al3Ni6Cu9Ta6","solid-solution","Al3Ni6Cu9Ta6",0,"init",true,"none"
"Alloy-SS-00047","bcc_Al6_Cu0_Nb0_Ni0_Ta15_W3_Zr0","Al6Ta15W3","solid-solution","Al6Ta15W3",0,"init",true,"none"
"Alloy-SS-00048","bcc_Al6_Cu0_Nb0_Ni6_Ta0_W3_Zr9","Al6Ni6Zr9W3","solid-solution","Al6Ni6Zr9W3",0,"init",true,"none"
"Alloy-SS-00049","bcc_Al6_Cu0_Nb3_Ni0_Ta3_W6_Zr6","Al6Zr6Nb3Ta3W6","solid-solution","Al6Zr6Nb3Ta3W6",0,"init",true,"none"
"Alloy-SS-00050","bcc_Al6_Cu0_Nb6_Ni0_Ta3_W0_Zr9","Al6Zr9Nb6Ta3","solid-solution","Al6Zr9Nb6Ta3",0,"init",true,"none"
"Alloy-SS-00051","bcc_Al6_Cu12_Nb0_Ni0_Ta0_W3_Zr3","Al6Cu12Zr3W3","solid-solution","Al6Cu12Zr3W3",0,"init",true,"none"
"Alloy-SS-00052","bcc_Al6_Cu3_Nb0_Ni3_Ta12_W0_Zr0","Al6Ni3Cu3Ta12","solid-solution","Al6Ni3Cu3Ta12",0,"init",true,"none"
"Alloy-SS-00053","bcc_Al6_Cu3_Nb3_Ni3_Ta0_W9_Zr0","Al6Ni3Cu3Nb3W9","solid-solution","Al6Ni3Cu3Nb3W9",0,"init",true,"none"
"Alloy-SS-00054","bcc_Al6_Cu6_Nb0_Ni0_Ta0_W9_Zr3","Al6Cu6Zr3W9","solid-solution","Al6Cu6Zr3W9",0,"init",true,"none"
"Alloy-SS-00055","bcc_Al6_Cu6_Nb3_Ni6_Ta3_W0_Zr0","Al6Ni6Cu6Nb3Ta3","solid-solution","Al6Ni6Cu6Nb3Ta3",0,"init",true,"none"
"Alloy-SS-00056","bcc_Al6_Cu9_Nb9_Ni0_Ta0_W0_Zr0","Al6Cu9Nb9","solid-solution","Al6Cu9Nb9",0,"init",true,"none"
"Alloy-SS-00057","bcc_Al9_Cu0_Nb0_Ni6_Ta9_W0_Zr0","Al9Ni6Ta9","solid-solution","Al9Ni6Ta9",0,"init",true,"none"
"Alloy-SS-00058","bcc_Al9_Cu0_Nb6_Ni0_Ta0_W9_Zr0","Al9Nb6W9","solid-solution","Al9Nb6W9",0,"init",true,"none"
"Alloy-SS-00059","bcc_Al9_Cu3_Nb0_Ni3_Ta0_W3_Zr6","Al9Ni3Cu3Zr6W3","solid-solution","Al9Ni3Cu3Zr6W3",0,"init",true,"none"
"Alloy-SS-00060","bcc_Al9_Cu3_Nb9_Ni0_Ta0_W3_Zr0","Al9Cu3Nb9W3","solid-solution","Al9Cu3Nb9W3",0,"init",true,"none"
"Alloy-SS-00061","bcc_Al9_Cu9_Nb3_Ni0_Ta3_W0_Zr0","Al9Cu9Nb3Ta3","solid-solution","Al9Cu9Nb3Ta3",0,"init",true,"none"
"Alloy-SS-00062","fcc_Al0_Cu0_Nb0_Ni12_Ta0_W16_Zr4","Ni12Zr4W16","solid-solution","Ni12Zr4W16",0,"init",true,"none"
"Alloy-SS-00063","fcc_Al0_Cu0_Nb0_Ni28_Ta0_W0_Zr4","Ni28Zr4","solid-solution","Ni28Zr4",0,"init",true,"none"
"Alloy-SS-00064","fcc_Al0_Cu0_Nb0_Ni8_Ta12_W8_Zr4","Ni8Zr4Ta12W8","solid-solution","Ni8Zr4Ta12W8",0,"init",true,"none"
"Alloy-SS-00065","fcc_Al0_Cu0_Nb12_Ni4_Ta0_W12_Zr4","Ni4Zr4Nb12W12","solid-solution","Ni4Zr4Nb12W12",0,"init",true,"none"
"Alloy-SS-00066","fcc_Al0_Cu0_Nb16_Ni4_Ta4_W8_Zr0","Ni4Nb16Ta4W8","solid-solution","Ni4Nb16Ta4W8",0,"init",true,"none"
"Alloy-SS-00067","fcc_Al0_Cu0_Nb4_Ni0_Ta0_W4_Zr24","Zr24Nb4W4","solid-solution","Zr24Nb4W4",0,"init",true,"none"
"Alloy-SS-00068","fcc_Al0_Cu0_Nb4_Ni16_Ta4_W0_Zr8","Ni16Zr8Nb4Ta4","solid-solution","Ni16Zr8Nb4Ta4",0,"init",true,"none"
"Alloy-SS-00069","fcc_Al0_Cu0_Nb4_Ni8_Ta12_W4_Zr4","Ni8Zr4Nb4Ta12W4","solid-solution","Ni8Zr4Nb4Ta12W4",0,"init",true,"none"
"Alloy-SS-00070","fcc_Al0_Cu0_Nb8_Ni12_Ta8_W0_Zr4","Ni12Zr4Nb8Ta8","solid-solution","Ni12Zr4Nb8Ta8",0,"init",true,"none"
"Alloy-SS-00071","fcc_Al0_Cu12_Nb0_Ni0_Ta0_W16_Zr4","Cu12Zr4W16","solid-solution","Cu12Zr4W16",0,"init",true,"none"
"Alloy-SS-00072","fcc_Al0_Cu12_Nb0_Ni8_Ta4_W4_Zr4","Ni8Cu12Zr4Ta4W4","solid-solution","Ni8Cu12Zr4Ta4W4",0,"init",true,"none"
"Alloy-SS-00073","fcc_Al0_Cu12_Nb4_Ni8_Ta0_W8_Zr0","Ni8Cu12Nb4W8","solid-solution","Ni8Cu12Nb4W8",0,"init",true,"none"
"Alloy-SS-00074","fcc_Al0_Cu16_Nb0_Ni4_Ta4_W8_Zr0","Ni4Cu16Ta4W8","solid-solution","Ni4Cu16Ta4W8",0,"init",true,"none"
"Alloy-SS-00075","fcc_Al0_Cu20_Nb0_Ni0_Ta4_W4_Zr4","Cu20Zr4Ta4W4","solid-solution","Cu20Zr4Ta4W4",0,"init",true,"none"
"Alloy-SS-00076","fcc_Al0_Cu4_Nb0_Ni0_Ta0_W0_Zr28","Cu4Zr28","solid-solution","Cu4Zr28",0,"init",true,"none"
"Alloy-SS-00077","fcc_Al0_Cu4_Nb0_Ni12_Ta8_W8_Zr0","Ni12Cu4Ta8W8","solid-solution","Ni12Cu4Ta8W8",0,"init",true,"none"
"Alloy-SS-00078","fcc_Al0_Cu4_Nb0_Ni8_Ta0_W12_Zr8","Ni8Cu4Zr8W12","solid-solution","Ni8Cu4Zr8W12",0,"init",true,"none"
"Alloy-SS-00079","fcc_Al0_Cu4_Nb12_Ni8_Ta0_W4_Zr4","Ni8Cu4Zr4Nb12W4","solid-solution","Ni8Cu4Zr4Nb12W4",0,"init",true,"none"
"Alloy-SS-00080","fcc_Al0_Cu4_Nb4_Ni0_Ta12_W8_Zr4","Cu4Zr4Nb4Ta12W8","solid-solution","Cu4Zr4Nb4Ta12W8",0,"init",true,"none"
"Alloy-SS-00081","fcc_Al0_Cu4_Nb4_Ni4_Ta4_W0_Zr16","Ni4Cu4Zr16Nb4Ta4","solid-solution","Ni4Cu4Zr16Nb4Ta4",0,"init",true,"none"
"Alloy-SS-00082","fcc_Al0_Cu4_Nb8_Ni12_Ta8_W0_Zr0","Ni12Cu4Nb8Ta8","solid-solution","Ni12Cu4Nb8Ta8",0,"init",true,"none"
"Alloy-SS-00083","fcc_Al0_Cu8_Nb0_Ni0_Ta4_W20_Zr0","Cu8Ta4W20","solid-solution","Cu8Ta4W20",0,"init",true,"none"
"Alloy-SS-00084","fcc_Al0_Cu8_Nb0_Ni8_Ta0_W12_Zr4","Ni8Cu8Zr4W12","solid-solution","Ni8Cu8Zr4W12",0,"init",true,"none"
"Alloy-SS-00085","fcc_Al0_Cu8_Nb4_Ni0_Ta0_W12_Zr8","Cu8Zr8Nb4W12","solid-solution","Cu8Zr8Nb4W12",0,"init",true,"none"
"Alloy-SS-00086","fcc_Al0_Cu8_Nb4_Ni8_Ta4_W0_Zr8","Ni8Cu8Zr8Nb4Ta4","solid-solution","Ni8Cu8Zr8Nb4Ta4",0,"init",true,"none"
"Alloy-SS-00087","fcc_Al12_Cu0_Nb0_Ni0_Ta16_W4_Zr0","Al12Ta16W4","solid-solution","Al12Ta16W4",0,"init",true,"none"
"Alloy-SS-00088","fcc_Al12_Cu0_Nb12_Ni0_Ta4_W4_Zr0","Al12Nb12Ta4W4","solid-solution","Al12Nb12Ta4W4",0,"init",true,"none"
"Alloy-SS-00089","fcc_Al12_Cu0_Nb8_Ni0_Ta12_W0_Zr0","Al12Nb8Ta12","solid-solution","Al12Nb8Ta12",0,"init",true,"none"
"Alloy-SS-00090","fcc_Al12_Cu4_Nb0_Ni0_Ta8_W4_Zr4","Al12Cu4Zr4Ta8W4","solid-solution","Al12Cu4Zr4Ta8W4",0,"init",true,"none"
"Alloy-SS-00091","fcc_Al12_Cu4_Nb8_Ni0_Ta4_W0_Zr4","Al12Cu4Zr4Nb8Ta4","solid-solution","Al12Cu4Zr4Nb8Ta4",0,"init",true,"none"
"Alloy-SS-00092","fcc_Al16_Cu0_Nb0_Ni0_Ta4_W0_Zr12","Al16Zr12Ta4","solid-solution","Al16Zr12Ta4",0,"init",true,"none"
"Alloy-SS-00093","fcc_Al16_Cu0_Nb4_Ni8_Ta0_W4_Zr0","Al16Ni8Nb4W4","solid-solution","Al16Ni8Nb4W4",0,"init",true,"none"
"Alloy-SS-00094","fcc_Al16_Cu4_Nb8_Ni0_Ta0_W4_Zr0","Al16Cu4Nb8W4","solid-solution","Al16Cu4Nb8W4",0,"init",true,"none"
"Alloy-SS-00095","fcc_Al20_Cu0_Nb8_Ni0_Ta0_W4_Zr0","Al20Nb8W4","solid-solution","Al20Nb8W4",0,"init",true,"none"
"Alloy-SS-00096","fcc_Al28_Cu4_Nb0_Ni0_Ta0_W0_Zr0","Al28Cu4","solid-solution","Al28Cu4",0,"init",true,"none"
"Alloy-SS-00097","fcc_Al4_Cu0_Nb0_Ni12_Ta8_W0_Zr8","Al4Ni12Zr8Ta8","solid-solution","Al4Ni12Zr8Ta8",0,"init",true,"none"
"Alloy-SS-00098","fcc_Al4_Cu0_Nb0_Ni4_Ta8_W8_Zr8","Al4Ni4Zr8Ta8W8","solid-solution","Al4Ni4Zr8Ta8W8",0,"init",true,"none"
"Alloy-SS-00099","fcc_Al4_Cu0_Nb12_Ni4_Ta8_W4_Zr0","Al4Ni4Nb12Ta8W4","solid-solution","Al4Ni4Nb12Ta8W4",0,"init",true,"none"
"Alloy-SS-00100","fcc_Al4_Cu0_Nb4_Ni0_Ta12_W12_Zr0","Al4Nb4Ta12W12","solid-solution","Al4Nb4Ta12W12",0,"init",true,"none"
"Alloy-SS-00101","fcc_Al4_Cu0_Nb4_Ni4_Ta16_W4_Zr0","Al4Ni4Nb4Ta16W4","solid-solution","Al4Ni4Nb4Ta16W4",0,"init",true,"none"
"Alloy-SS-00102","fcc_Al4_Cu0_Nb8_Ni12_Ta4_W0_Zr4","Al4Ni12Zr4Nb8Ta4","solid-solution","Al4Ni12Zr4Nb8Ta4",0,"init",true,"none"
"Alloy-SS-00103","fcc_Al4_Cu12_Nb0_Ni16_Ta0_W0_Zr0","Al4Ni16Cu12","solid-solution","Al4Ni16Cu12",0,"init",true,"none"
"Alloy-SS-00104","fcc_Al4_Cu12_Nb8_Ni4_Ta4_W0_Zr0","Al4Ni4Cu12Nb8Ta4","solid-solution","Al4Ni4Cu12Nb8Ta4",0,"init",true,"none"
"Alloy-SS-00105","fcc_Al4_Cu20_Nb4_Ni4_Ta0_W0_Zr0","Al4Ni4Cu20Nb4","solid-solution","Al4Ni4Cu20Nb4",0,"init",true,"none"
"Alloy-SS-00106","fcc_Al4_Cu4_Nb0_Ni16_Ta4_W4_Zr0","Al4Ni16Cu4Ta4W4","solid-solution","Al4Ni16Cu4Ta4W4",0,"init",true,"none"
"Alloy-SS-00107","fcc_Al4_Cu4_Nb12_Ni0_Ta8_W0_Zr4","Al4Cu4Zr4Nb12Ta8","solid-solution","Al4Cu4Zr4Nb12Ta8",0,"init",true,"none"
"Alloy-SS-00108","fcc_Al4_Cu4_Nb4_Ni12_Ta0_W8_Zr0","Al4Ni12Cu4Nb4W8","solid-solution","Al4Ni12Cu4Nb4W8",0,"init",true,"none"
"Alloy-SS-00109","fcc_Al4_Cu4_Nb8_Ni12_Ta4_W0_Zr0","Al4Ni12Cu4Nb8Ta4","solid-solution","Al4Ni12Cu4Nb8Ta4",0,"init",true,"none"
"Alloy-SS-00110","fcc_Al4_Cu8_Nb0_Ni4_Ta0_W12_Zr4","Al4Ni4Cu8Zr4W12","solid-solution","Al4Ni4Cu8Zr4W12",0,"init",true,"none"
"Alloy-SS-00111","fcc_Al4_Cu8_Nb4_Ni0_Ta4_W8_Zr4","Al4Cu8Zr4Nb4Ta4W8","solid-solution","Al4Cu8Zr4Nb4Ta4W8",0,"init",true,"none"
"Alloy-SS-00112","fcc_Al8_Cu0_Nb0_Ni0_Ta0_W8_Zr16","Al8Zr16W8","solid-solution","Al8Zr16W8",0,"init",true,"none"
"Alloy-SS-00113","fcc_Al8_Cu0_Nb0_Ni4_Ta12_W8_Zr0","Al8Ni4Ta12W8","solid-solution","Al8Ni4Ta12W8",0,"init",true,"none"
"Alloy-SS-00114","fcc_Al8_Cu0_Nb16_Ni0_Ta0_W8_Zr0","Al8Nb16W8","solid-solution","Al8Nb16W8",0,"init",true,"none"
"Alloy-SS-00115","fcc_Al8_Cu0_Nb4_Ni4_Ta12_W4_Zr0","Al8Ni4Nb4Ta12W4","solid-solution","Al8Ni4Nb4Ta12W4",0,"init",true,"none"
"Alloy-SS-00116","fcc_Al8_Cu0_Nb8_Ni8_Ta0_W8_Zr0","Al8Ni8Nb8W8","solid-solution","Al8Ni8Nb8W8",0,"init",true,"none"
"Alloy-SS-00117","fcc_Al8_Cu16_Nb4_Ni0_Ta0_W4_Zr0","Al8Cu16Nb4W4","solid-solution","Al8Cu16Nb4W4",0,"init",true,"none"
"Alloy-SS-00118","fcc_Al8_Cu4_Nb0_Ni4_Ta4_W12_Zr0","Al8Ni4Cu4Ta4W12","solid-solution","Al8Ni4Cu4Ta4W12",0,"init",true,"none"
"Alloy-SS-00119","fcc_Al8_Cu4_Nb4_Ni4_Ta0_W0_Zr12","Al8Ni4Cu4Zr12Nb4","solid-solution","Al8Ni4Cu4Zr12Nb4",0,"init",true,"none"
"Alloy-SS-00120","fcc_Al8_Cu8_Nb0_Ni0_Ta8_W8_Zr0","Al8Cu8Ta8W8","solid-solution","Al8Cu8Ta8W8",0,"init",true,"none"
"Alloy-SS-00121","fcc_Al8_Cu8_Nb8_Ni0_Ta4_W4_Zr0","Al8Cu8Nb8Ta4W4","solid-solution","Al8Cu8Nb8Ta4W4",0,"init",true,"none"
"Alloy-SS-00122","bcc_Al0_Cu0_Nb0_Ni0_Ta9_W9_Zr6","Zr6Ta9W9","solid-solution","Zr6Ta9W9",0,"init",true,"none"
"Alloy-SS-00123","bcc_Al0_Cu0_Nb0_Ni3_Ta15_W6_Zr0","Ni3Ta15W6","solid-solution","Ni3Ta15W6",0,"init",true,"none"
"Alloy-SS-00124","bcc_Al0_Cu0_Nb0_Ni9_Ta0_W0_Zr15","Ni9Zr15","solid-solution","Ni9Zr15",0,"init",true,"none"
"Alloy-SS-00125","bcc_Al0_Cu0_Nb12_Ni6_Ta3_W0_Zr3","Ni6Zr3Nb12Ta3","solid-solution","Ni6Zr3Nb12Ta3",0,"init",true,"none"
"Alloy-SS-00126","bcc_Al0_Cu0_Nb3_Ni0_Ta12_W3_Zr6","Zr6Nb3Ta12W3","solid-solution","Zr6Nb3Ta12W3",0,"init",true,"none"
"Alloy-SS-00127","bcc_Al0_Cu0_Nb3_Ni3_Ta0_W18_Zr0","Ni3Nb3W18","solid-solution","Ni3Nb3W18",0,"init",true,"none"
"Alloy-SS-00128","bcc_Al0_Cu0_Nb3_Ni9_Ta0_W9_Zr3","Ni9Zr3Nb3W9","solid-solution","Ni9Zr3Nb3W9",0,"init",true,"none"
"Alloy-SS-00129","bcc_Al0_Cu0_Nb6_Ni3_Ta0_W12_Zr3","Ni3Zr3Nb6W12","solid-solution","Ni3Zr3Nb6W12",0,"init",true,"none"
"Alloy-SS-00130","bcc_Al0_Cu0_Nb9_Ni0_Ta0_W9_Zr6","Zr6Nb9W9","solid-solution","Zr6Nb9W9",0,"init",true,"none"
"Alloy-SS-00131","bcc_Al0_Cu0_Nb9_Ni9_Ta6_W0_Zr0","Ni9Nb9Ta6","solid-solution","Ni9Nb9Ta6",0,"init",true,"none"
"Alloy-SS-00132","bcc_Al0_Cu12_Nb3_Ni3_Ta3_W0_Zr3","Ni3Cu12Zr3Nb3Ta3","solid-solution","Ni3Cu12Zr3Nb3Ta3",0,"init",true,"none"
"Alloy-SS-00133","bcc_Al0_Cu15_Nb3_Ni6_Ta0_W0_Zr0","Ni6Cu15Nb3","solid-solution","Ni6Cu15Nb3",0,"init",true,"none"
"Alloy-SS-00134","bcc_Al0_Cu3_Nb0_Ni0_Ta3_W6_Zr12","Cu3Zr12Ta3W6","solid-solution","Cu3Zr12Ta3W6",0,"init",true,"none"
"Alloy-SS-00135","bcc_Al0_Cu3_Nb0_Ni3_Ta3_W6_Zr9","Ni3Cu3Zr9Ta3W6","solid-solution","Ni3Cu3Zr9Ta3W6",0,"init",true,"none"
"Alloy-SS-00136","bcc_Al0_Cu3_Nb12_Ni0_Ta0_W9_Zr0","Cu3Nb12W9","solid-solution","Cu3Nb12W9",0,"init",true,"none"
"Alloy-SS-00137","bcc_Al0_Cu3_Nb3_Ni0_Ta3_W9_Zr6","Cu3Zr6Nb3Ta3W9","solid-solution","Cu3Zr6Nb3Ta3W9",0,"init",true,"none"
"Alloy-SS-00138","bcc_Al0_Cu3_Nb3_Ni6_Ta3_W9_Zr0","Ni6Cu3Nb3Ta3W9","solid-solution","Ni6Cu3Nb3Ta3W9",0,"init",true,"none"
"Alloy-SS-00139","bcc_Al0_Cu3_Nb6_Ni3_Ta3_W9_Zr0","Ni3Cu3Nb6Ta3W9","solid-solution","Ni3Cu3Nb6Ta3W9",0,"init",true,"none"
"Alloy-SS-00140","bcc_Al0_Cu3_Nb9_Ni6_Ta0_W6_Zr0","Ni6Cu3Nb9W6","solid-solution","Ni6Cu3Nb9W6",0,"init",true,"none"
"Alloy-SS-00141","bcc_Al0_Cu6_Nb0_Ni3_Ta0_W9_Zr6","Ni3Cu6Zr6W9","solid-solution","Ni3Cu6Zr6W9",0,"init",true,"none"
"Alloy-SS-00142","bcc_Al0_Cu6_Nb12_Ni6_Ta0_W0_Zr0","Ni6Cu6Nb12","solid-solution","Ni6Cu6Nb12",0,"init",true,"none"
"Alloy-SS-00143","bcc_Al0_Cu6_Nb3_Ni6_Ta3_W0_Zr6","Ni6Cu6Zr6Nb3Ta3","solid-solution","Ni6Cu6Zr6Nb3Ta3",0,"init",true,"none"
"Alloy-SS-00144","bcc_Al0_Cu6_Nb9_Ni0_Ta0_W9_Zr0","Cu6Nb9W9","solid-solution","Cu6Nb9W9",0,"init",true,"none"
"Alloy-SS-00145","bcc_Al0_Cu9_Nb0_Ni3_Ta3_W6_Zr3","Ni3Cu9Zr3Ta3W6","solid-solution","Ni3Cu9Zr3Ta3W6",0,"init",true,"none"
"Alloy-SS-00146","bcc_Al0_Cu9_Nb3_Ni3_Ta3_W6_Zr0","Ni3Cu9Nb3Ta3W6","solid-solution","Ni3Cu9Nb3Ta3W6",0,"init",true,"none"
